Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a (mg per m3),CDOM (ppb),Tryptophan (ppb),GPS Lat.,GPS Long.
06/12/18,11:28:13,18.45,7.82,-49.2,-223.3,1450,1269,690,725,0.73,0,14.383,10,0.91,96.1,,,,,564.4,2192,218.64,,,,28.6647,77.23877
06/12/18,11:28:23,18.45,7.82,-49.4,-223.8,1445,1265,692,723,0.73,0,14.382,10,0.91,90.2,,,,,564,2186.8,209.64,,,,28.66471,77.2388
06/12/18,11:28:33,18.46,7.82,-49.4,-224,1441,1262,694,721,0.73,0,14.384,10,0.91,91.5,,,,,568.8,2260.8,221.68,,,,28.66472,77.2388
06/12/18,11:28:43,18.43,7.82,-49.7,-224.5,1443,1263,693,722,0.73,0,14.385,10,0.91,93.2,,,,,568.4,2048.4,191.6,,,,28.66472,77.23882
06/12/18,11:28:53,18.43,7.82,-49.5,-224.6,1442,1262,693,721,0.73,0,14.386,10,0.92,90.1,,,,,586.8,2197.6,212.8,,,,28.66472,77.23882
06/12/18,11:29:03,18.45,7.81,-48.9,-224.4,1459,1278,685,730,0.74,0,14.387,10,0.91,94.6,,,,,577.2,2081.6,208.12,,,,28.66481,77.2388
06/12/18,11:29:13,18.46,7.8,-48.7,-224.5,1499,1313,667,750,0.76,0,14.388,9.9,0.9,97.1,,,,,580.4,2222,215.48,,,,28.6649,77.23877
06/12/18,11:29:23,18.47,7.8,-48.7,-224.9,1538,1347,650,769,0.78,0,14.385,9.9,0.9,73.1,,,,,581.6,2197.6,214.88,,,,28.66497,77.23875
06/12/18,11:29:33,18.47,7.81,-48.8,-225.4,1575,1379,635,787,0.8,0,14.384,9.9,0.9,113,,,,,584,2072.8,202.64,,,,28.66497,77.23875
06/12/18,11:29:43,18.45,7.81,-48.9,-226.1,1604,1404,623,802,0.81,0,14.383,9.8,0.89,117,,,,,585.2,2236,213.92,,,,28.66516,77.23864
06/12/18,11:29:53,18.46,7.81,-49.2,-226.9,1620,1418,617,810,0.82,0,14.384,9.7,0.89,116,,,,,588.4,2163.6,215.6,,,,28.66524,77.23858
06/12/18,11:30:03,18.46,7.82,-49.6,-227.8,1624,1423,616,812,0.82,0,14.384,9.7,0.89,106,,,,,594.4,2165.6,209.88,,,,28.66531,77.23857
06/12/18,11:30:13,18.42,7.82,-49.6,-228.3,1626,1423,615,813,0.82,0,14.385,9.7,0.89,114,,,,,582.8,2148.8,204.4,,,,28.66541,77.23852
06/12/18,11:30:23,18.42,7.83,-49.8,-229,1623,1420,616,811,0.82,0,14.387,9.7,0.88,113,,,,,594.4,2120,211.72,,,,28.66554,77.23843
06/12/18,11:30:33,18.42,7.83,-49.9,-229.6,1620,1418,617,810,0.82,0,14.387,9.6,0.88,118,,,,,593.2,2111.6,206.28,,,,28.66566,77.23836
06/12/18,11:30:43,18.42,7.83,-50,-230.1,1618,1416,618,809,0.82,0,14.386,9.6,0.88,114,,,,,586.4,2096,207.76,,,,28.66578,77.23829
06/12/18,11:30:53,18.42,7.83,-50.1,-230.6,1613,1412,620,807,0.82,0,14.385,9.6,0.88,118,,,,,566.8,2184.4,213.44,,,,28.66593,77.23819
06/12/18,11:31:03,18.42,7.84,-50.3,-231.1,1612,1411,620,806,0.82,0,14.386,9.6,0.88,116,,,,,593.2,2088,200.44,,,,28.66606,77.23809
06/12/18,11:31:13,18.44,7.84,-50.3,-231.5,1610,1409,621,805,0.82,0,14.383,9.6,0.88,113,,,,,582.4,2101.6,203.68,,,,28.66619,77.23798
06/12/18,11:31:23,18.43,7.84,-50.5,-232,1610,1409,621,805,0.82,0,14.384,9.6,0.87,118,,,,,574.8,2110,202.64,,,,28.66632,77.23789
06/12/18,11:31:33,18.44,7.84,-50.6,-232.4,1613,1412,620,807,0.82,0,14.383,9.6,0.87,112,,,,,576,2056,198.6,,,,28.66644,77.23778
06/12/18,11:31:43,18.44,7.85,-50.8,-232.9,1614,1413,620,807,0.82,0,14.384,9.6,0.87,124,,,,,568.4,2214.4,213.44,,,,28.66655,77.23768
06/12/18,11:31:53,18.44,7.85,-51.1,-233.4,1617,1415,618,808,0.82,0,14.382,9.6,0.87,122,,,,,558,2212,208.88,,,,28.66666,77.23758
06/12/18,11:32:03,18.43,7.86,-51.5,-234.1,1618,1416,618,809,0.82,0,14.383,9.6,0.87,122,,,,,560.8,2253.2,216.96,,,,28.66673,77.23748
06/12/18,11:32:13,18.44,7.86,-51.5,-234.4,1621,1419,617,811,0.82,0,14.384,9.5,0.87,124,,,,,560,2373.6,222.96,,,,28.66682,77.23742
06/12/18,11:32:23,18.44,7.86,-51.5,-234.7,1628,1425,614,814,0.83,0,14.386,9.6,0.87,123,,,,,557.2,2233.6,220.96,,,,28.6669,77.23732
06/12/18,11:32:33,18.44,7.86,-51.5,-235.1,1633,1429,612,816,0.83,0,14.384,9.5,0.87,119,,,,,562,2238,217.52,,,,28.66701,77.2372
06/12/18,11:32:43,18.45,7.86,-51.6,-235.6,1636,1432,611,818,0.83,0,14.384,9.5,0.87,120,,,,,554,2249.6,219.76,,,,28.66708,77.23711
06/12/18,11:32:53,18.44,7.87,-51.8,-236.1,1638,1434,611,819,0.83,0,14.385,9.5,0.87,125,,,,,566.8,2307.6,224.68,,,,28.66722,77.23698
06/12/18,11:33:03,18.46,7.87,-51.9,-236.6,1644,1440,608,822,0.83,0,14.387,9.5,0.87,124,,,,,554.8,2138.8,200.6,,,,28.66726,77.23696
06/12/18,11:33:13,18.45,7.87,-52.1,-237.1,1646,1441,608,823,0.84,0,14.383,9.5,0.86,113,,,,,554.4,2238,208.92,,,,28.66726,77.23696
06/12/18,11:33:23,18.45,7.88,-52.2,-237.6,1644,1440,608,822,0.83,0,14.383,9.5,0.86,114,,,,,567.6,2236,217.08,,,,28.66761,77.23669
06/12/18,11:33:33,18.47,7.88,-52.3,-238.1,1652,1447,605,826,0.84,0,14.382,9.4,0.86,113,,,,,566.8,2167.6,206.84,,,,28.66773,77.23659
06/12/18,11:33:43,18.46,7.88,-52.5,-238.6,1652,1446,605,826,0.84,0,14.384,9.4,0.86,110,,,,,562,2154.8,207.6,,,,28.66786,77.23648
06/12/18,11:33:53,18.47,7.88,-52.6,-239.1,1654,1449,605,827,0.84,0,14.385,9.4,0.86,115,,,,,566.8,2106.4,200.44,,,,28.66798,77.23637
06/12/18,11:34:03,18.49,7.88,-52.7,-239.5,1654,1449,605,827,0.84,0,14.383,9.4,0.86,115,,,,,560.4,1977.6,189.32,,,,28.6681,77.23631
06/12/18,11:34:13,18.49,7.89,-52.8,-239.9,1656,1451,604,828,0.84,0,14.381,9.4,0.86,111,,,,,561.6,1925.2,186.44,,,,28.66825,77.23622
06/12/18,11:34:23,18.48,7.89,-52.9,-240.3,1656,1451,604,828,0.84,0,14.382,9.4,0.86,110,,,,,574.4,1952.4,189.84,,,,28.66838,77.23613
06/12/18,11:34:33,18.48,7.89,-53.1,-240.8,1655,1450,604,827,0.84,0,14.381,9.4,0.86,128,,,,,554.8,1992.8,196.12,,,,28.66851,77.23605
06/12/18,11:34:43,18.49,7.89,-53.2,-241.1,1656,1451,604,828,0.84,0,14.382,9.4,0.86,116,,,,,552,1869.2,183.68,,,,28.66866,77.23602
06/12/18,11:34:53,18.48,7.9,-53.3,-241.5,1656,1451,604,828,0.84,0,14.382,9.4,0.86,122,,,,,578,1862,182.2,,,,28.66882,77.23598
06/12/18,11:35:03,18.49,7.9,-53.4,-241.8,1655,1451,604,828,0.84,0,14.381,9.4,0.85,114,,,,,545.6,1838.4,172.4,,,,28.66895,77.23596
06/12/18,11:35:13,18.48,7.9,-53.5,-242.1,1655,1450,604,828,0.84,0,14.38,9.4,0.86,125,,,,,554.4,1861.2,179.76,,,,28.66911,77.23592
06/12/18,11:35:23,18.49,7.91,-53.7,-242.4,1644,1440,608,822,0.83,0,14.383,9.4,0.86,119,,,,,552.4,1830.8,174.76,,,,28.66926,77.23586
06/12/18,11:35:33,18.49,7.91,-53.8,-242.6,1652,1448,605,826,0.84,0,14.381,9.4,0.86,127,,,,,572,1784.8,174.16,,,,28.66938,77.23572
06/12/18,11:35:43,18.5,7.91,-53.9,-242.9,1656,1451,604,828,0.84,0,14.382,9.4,0.86,127,,,,,544.4,1933.6,187,,,,28.66949,77.2356
06/12/18,11:35:53,18.51,7.91,-54,-243.2,1655,1451,604,828,0.84,0,14.382,9.4,0.86,131,,,,,550.4,1856,167.96,,,,28.66957,77.23548
06/12/18,11:36:03,18.55,7.92,-54.2,-243.6,1651,1449,606,826,0.84,0,14.381,9.4,0.86,127,,,,,550.4,1920.8,179.48,,,,28.66964,77.23539
06/12/18,11:36:13,18.56,7.92,-54.2,-243.7,1651,1449,606,826,0.84,0,14.38,9.5,0.86,130,,,,,544,1830.8,172.68,,,,28.66974,77.23537
06/12/18,11:36:23,18.52,7.92,-54.2,-243.8,1656,1452,604,828,0.84,0,14.38,9.4,0.86,129,,,,,558.4,1701.6,158.04,,,,28.66988,77.23541
06/12/18,11:36:33,18.52,7.92,-54.5,-244.1,1656,1452,604,828,0.84,0,14.379,9.5,0.86,131,,,,,550,1684.4,167.92,,,,28.66988,77.23541
06/12/18,11:36:43,18.53,7.92,-54.4,-244.1,1656,1453,604,828,0.84,0,14.379,9.5,0.86,132,,,,,556.8,1972,194.48,,,,28.66988,77.23541
06/12/18,11:36:53,18.53,7.92,-54.3,-244.2,1655,1452,604,828,0.84,0,14.379,9.5,0.86,124,,,,,563.6,1946,192.04,,,,28.67023,77.2355
06/12/18,11:37:03,18.53,7.92,-54.4,-244.3,1656,1452,604,828,0.84,0,14.38,9.5,0.87,132,,,,,550.4,1987.6,200.12,,,,28.67041,77.23551
06/12/18,11:37:13,18.53,7.92,-54.5,-244.4,1654,1451,605,827,0.84,0,14.38,9.5,0.87,128,,,,,552,1954.4,199.72,,,,28.67055,77.23552
06/12/18,11:37:23,18.54,7.92,-54.5,-244.6,1653,1450,605,826,0.84,0,14.381,9.5,0.87,121,,,,,558.8,1913.2,193.16,,,,28.67072,77.23555
06/12/18,11:37:33,18.53,7.92,-54.6,-244.7,1652,1449,605,826,0.84,0,14.379,9.5,0.87,122,,,,,543.2,1887.2,190.76,,,,28.67089,77.23555
06/12/18,11:37:43,18.53,7.92,-54.6,-244.8,1653,1450,605,826,0.84,0,14.38,9.5,0.87,125,,,,,566.4,1898.4,189.72,,,,28.67103,77.23553
06/12/18,11:37:53,18.54,7.92,-54.6,-244.8,1655,1452,604,827,0.84,0,14.38,9.5,0.87,124,,,,,551.6,1946.8,199.2,,,,28.67119,77.23551
06/12/18,11:38:03,18.58,7.92,-54.5,-244.8,1663,1460,601,831,0.84,0,14.381,9.6,0.87,132,,,,,557.2,1893.6,184.32,,,,28.67131,77.23544
06/12/18,11:38:13,18.62,7.92,-54.6,-245.1,1659,1458,603,829,0.84,0,14.379,9.6,0.87,130,,,,,596.8,1888.4,189.56,,,,28.67145,77.23539
