Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a (mg per m3),CDOM (ppb),Tryptophan (ppb),GPS Lat.,GPS Long.
11/12/18,13:17:18,17.56,7.48,-32.8,-205.7,1400,1202,714,700,0.71,0,14.393,12.4,1.16,43.8,,,,,590.8,3070,366.8,,,,28.62631,77.2536
11/12/18,13:17:28,17.56,7.48,-32.9,-206,1401,1203,714,700,0.71,0,14.393,12.4,1.16,44.3,,,,,627.6,3064.4,361.2,,,,28.62631,77.2536
11/12/18,13:17:38,17.57,7.47,-32.4,-206,1402,1204,713,701,0.71,0,14.391,12.3,1.15,43.2,,,,,635.6,3114.4,382.8,,,,28.62629,77.25358
11/12/18,13:17:48,17.57,7.45,-31.4,-205.7,1402,1204,713,701,0.71,0,14.392,12.2,1.13,42.7,,,,,590,3105.6,379.2,,,,28.62631,77.25362
11/12/18,13:17:58,17.54,7.46,-31.8,-206.7,1401,1202,714,700,0.71,0,14.391,12.1,1.12,44,,,,,588.4,3111.2,375.2,,,,28.62621,77.25368
11/12/18,13:18:08,17.54,7.47,-32.4,-207.7,1400,1202,714,700,0.71,0,14.392,12,1.12,44.1,,,,,588,3091.6,375.6,,,,28.62605,77.25368
11/12/18,13:18:18,17.54,7.48,-32.7,-208.5,1401,1202,714,700,0.71,0,14.392,12,1.11,44.1,,,,,576.4,3114.4,378.4,,,,28.62588,77.25368
11/12/18,13:18:28,17.54,7.49,-33,-209.3,1402,1203,713,701,0.71,0,14.391,11.9,1.11,43.7,,,,,559.6,3100.8,378,,,,28.6257,77.25368
11/12/18,13:18:38,17.54,7.5,-33.5,-210.3,1402,1203,713,701,0.71,0,14.391,11.9,1.11,43.6,,,,,589.2,3074,372,,,,28.62552,77.25362
11/12/18,13:18:48,17.54,7.5,-33.7,-211,1402,1203,713,701,0.71,0,14.39,11.9,1.1,43.6,,,,,573.6,3079.2,379.6,,,,28.62535,77.2536
11/12/18,13:18:58,17.54,7.51,-34,-211.7,1402,1203,713,701,0.71,0,14.391,11.8,1.1,43.4,,,,,556.8,3090,373.6,,,,28.62517,77.25357
11/12/18,13:19:08,17.55,7.53,-35.1,-213.3,1403,1204,713,701,0.71,0,14.391,11.8,1.1,43.2,,,,,567.6,3070.8,379.6,,,,28.62499,77.25357
11/12/18,13:19:18,17.53,7.54,-35.5,-214.1,1403,1204,713,702,0.71,0,14.39,11.8,1.1,43.3,,,,,570.4,3090.4,371.6,,,,28.6248,77.25357
