Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a (mg per m3),CDOM (ppb),Tryptophan (ppb),GPS Lat.,GPS Long.
15/04/18,9:31:16,27.13,7.2,-26,-321.3,1682,1750,595,841,0.84,0,14.466,0,0,36.7,,,,,952.8,4355.6,305.68,3.01,231.38,82.62,28.62748,77.25364
15/04/18,9:31:26,27.12,7.19,-25.6,-321.1,1681,1749,595,841,0.84,0,14.468,0,0,35.8,,,,,960.8,4328,302.76,3.04,230.37,82.51,28.62748,77.25364
15/04/18,9:31:36,27.12,7.19,-25.4,-321.1,1682,1750,595,841,0.84,0,14.465,0,0,35.8,,,,,971.2,4327.2,297.28,3.07,230.34,82.31,28.62753,77.25364
15/04/18,9:31:46,27.16,7.19,-25.4,-321,1681,1750,595,841,0.84,0,14.465,0,0,37,,,,,948.4,4291.6,313.48,2.99,229.03,82.9,28.62753,77.25364
15/04/18,9:31:56,27.13,7.19,-25.3,-320.8,1683,1751,594,841,0.85,0,14.464,0,0,36.3,,,,,966.8,4288.4,299.6,3.06,228.91,82.39,28.62753,77.25364
15/04/18,9:32:06,27.16,7.19,-25.4,-320.7,1682,1751,595,841,0.84,0,14.467,0,0,38,,,,,976,4277.6,299.8,3.09,228.52,82.4,28.62755,77.25364
15/04/18,9:32:16,27.11,7.19,-25.4,-320.2,1678,1745,596,839,0.84,0,14.467,0,0,35.6,,,,,996.8,4235.2,301.28,3.16,226.96,82.46,28.62755,77.25364
15/04/18,9:32:26,26.73,7.19,-25.6,-320.4,1642,1696,609,821,0.82,0,14.464,0,0,36,,,,,941.6,4291.2,300.32,2.97,229.01,82.42,28.62755,77.25364
15/04/18,9:32:36,26.45,7.2,-25.7,-320.5,1633,1679,612,817,0.82,0,14.467,0,0,36.2,,,,,964,4268,296.76,3.05,228.16,82.29,28.62746,77.25373
15/04/18,9:32:46,26.41,7.2,-25.8,-320.9,1621,1665,617,811,0.81,0,14.467,0,0,37.2,,,,,969.6,4257.2,297.68,3.07,227.77,82.32,28.62746,77.25373
15/04/18,9:32:56,26.41,7.19,-25.6,-320.8,1620,1664,617,810,0.81,0,14.468,0,0,37.6,,,,,980,4299.6,300.8,3.1,229.32,82.44,28.62745,77.25375
15/04/18,9:33:06,26.43,7.19,-25.4,-320.7,1617,1661,618,809,0.81,0,14.469,0,0,37.2,,,,,985.2,4288.4,301.04,3.12,228.91,82.45,28.62744,77.25376
15/04/18,9:33:16,26.42,7.19,-25.3,-320.7,1615,1659,619,808,0.81,0,14.469,0,0,38.7,,,,,1000.4,4258,302.2,3.17,227.8,82.49,28.62744,77.25376
15/04/18,9:33:26,26.43,7.19,-25.4,-315.4,1614,1658,620,807,0.81,0,14.47,0,0,37.2,,,,,1034,4225.2,305.56,3.28,226.59,82.61,28.62743,77.25382
15/04/18,9:33:36,26.43,7.19,-25.4,-305.5,1622,1667,617,811,0.81,0,14.47,0,0,36.4,,,,,974.8,4285.2,304.96,3.08,228.79,82.59,28.62743,77.25382
15/04/18,9:33:46,26.43,7.19,-25.4,-295.6,1618,1662,618,809,0.81,0,14.471,0,0,37.2,,,,,970.8,4345.2,306.88,3.07,231,82.66,28.62743,77.25382
15/04/18,9:33:56,26.39,7.19,-25.3,-291.9,1619,1661,618,809,0.81,0,14.47,0,0,37,,,,,947.2,4279.6,304.52,2.99,228.59,82.57,28.62743,77.25382
15/04/18,9:34:06,26.41,7.19,-25.1,-292.6,1619,1662,618,809,0.81,0,14.47,0,0,37.4,,,,,1019.2,4215.2,280.24,3.23,226.22,81.68,28.62741,77.25387
15/04/18,9:34:16,26.41,7.18,-24.6,-296.1,1621,1664,617,810,0.81,0,14.469,0,0,37.1,,,,,1022,4202.8,285.48,3.24,225.77,81.88,28.6274,77.25387
15/04/18,9:34:26,26.42,7.19,-25.6,-299.9,1617,1660,618,808,0.81,0,14.47,0,0,36.8,,,,,1066,4210.8,287.68,3.39,226.06,81.96,28.62732,77.25388
15/04/18,9:34:36,26.43,7.2,-26.2,-302.1,1614,1657,620,807,0.81,0,14.468,0,0,37.6,,,,,1043.2,4218.8,292.4,3.32,226.36,82.13,28.62723,77.25389
15/04/18,9:34:46,26.46,7.2,-26.1,-303.8,1613,1658,620,807,0.81,0,14.469,0,0,36.8,,,,,1016.8,4244.4,286,3.23,227.3,81.89,28.62706,77.25391
15/04/18,9:34:56,26.47,7.2,-26.1,-305.9,1618,1663,618,809,0.81,0,14.473,0,0,36.4,,,,,1022.8,4246.8,297.48,3.25,227.38,82.32,28.62695,77.25392
15/04/18,9:35:06,26.57,7.2,-26.2,-307.6,1627,1675,615,813,0.82,0,14.471,0,0,36.4,,,,,993.2,4236.8,291.6,3.15,227.02,82.1,28.6268,77.25389
15/04/18,9:35:16,26.59,7.2,-26.2,-308.2,1633,1682,612,817,0.82,0,14.473,0,0,36.9,,,,,1016,4187.2,275.96,3.22,225.19,81.53,28.62671,77.25388
15/04/18,9:35:26,26.66,7.21,-26.5,-307.9,1636,1687,611,818,0.82,0,14.472,0,0,36.9,,,,,970.8,4210,293.48,3.07,226.03,82.17,28.62666,77.25382
15/04/18,9:35:36,26.59,7.22,-27,-308.6,1636,1685,611,818,0.82,0,14.474,0,0,37.6,,,,,1027.2,4223.2,285.24,3.26,226.52,81.87,28.62663,77.25378
15/04/18,9:35:46,26.59,7.2,-25.8,-308.1,1636,1685,611,818,0.82,0,14.474,0,0,36.7,,,,,1026,4165.6,282.12,3.26,224.4,81.75,28.62662,77.25378
15/04/18,9:35:56,26.57,7.21,-26.4,-302.1,1638,1687,611,819,0.82,0,14.476,0,0,35.8,,,,,1022.4,4194.4,277.84,3.24,225.46,81.59,28.62661,77.25375
15/04/18,9:36:06,26.54,7.21,-26.6,-301.6,1639,1687,610,820,0.82,0,14.475,0,0,35.6,,,,,1008,4183.6,284.16,3.2,225.06,81.83,28.62665,77.25364
15/04/18,9:36:16,26.54,7.21,-26.7,-303.9,1636,1684,611,818,0.82,0,14.473,0,0,35.5,,,,,1022.4,4183.6,284.92,3.24,225.06,81.85,28.62675,77.25368
15/04/18,9:36:26,26.56,7.21,-26.7,-305.6,1628,1676,614,814,0.82,0,14.474,0,0,36.3,,,,,1012.8,4185.2,283.04,3.21,225.12,81.79,28.62692,77.25382
15/04/18,9:36:36,26.52,7.22,-26.8,-306.9,1612,1659,620,806,0.81,0,14.476,0,0,36.7,,,,,1021.2,4163.6,282.04,3.24,224.33,81.75,28.62708,77.25393
15/04/18,9:36:46,26.45,7.22,-26.9,-308.3,1610,1654,621,805,0.81,0,14.476,0,0,38.3,,,,,1027.6,4172.4,279.16,3.26,224.65,81.64,28.62729,77.25404
15/04/18,9:36:56,26.43,7.22,-27.1,-309.2,1604,1648,623,802,0.8,0,14.475,0,0,37.9,,,,,992,4170,287.64,3.14,224.56,81.95,28.62745,77.25416
15/04/18,9:37:06,26.53,7.22,-27.1,-310.1,1580,1626,633,790,0.79,0,14.473,0,0,36.9,,,,,973.2,4166.8,288.36,3.08,224.45,81.98,28.62756,77.25427
15/04/18,9:37:16,26.84,7.22,-27.3,-311.4,1688,1747,592,844,0.85,0,14.476,0,0,34.4,,,,,1021.6,4168.4,285.12,3.24,224.5,81.86,28.62761,77.25438
15/04/18,9:37:26,26.91,7.23,-27.4,-312.1,1707,1768,586,853,0.86,0,14.477,0,0,33.4,,,,,1040,4189.6,283.56,3.3,225.28,81.81,28.62761,77.25451
15/04/18,9:37:36,26.85,7.23,-27.4,-312.4,1688,1747,592,844,0.85,0,14.478,0,0,34.1,,,,,1006.4,4187.2,286.52,3.19,225.19,81.91,28.62759,77.25462
15/04/18,9:37:46,26.82,7.23,-27.6,-313.7,1692,1750,591,846,0.85,0,14.476,0,0,33.9,,,,,991.6,4205.6,278.96,3.14,225.87,81.64,28.62759,77.25475
15/04/18,9:37:56,26.81,7.22,-27.3,-314.5,1695,1753,590,848,0.85,0,14.478,0,0,34.1,,,,,1004.8,4213.2,287.56,3.19,226.15,81.95,28.62752,77.25477
15/04/18,9:38:06,26.81,7.22,-27.1,-315.2,1692,1750,591,846,0.85,0,14.479,0,0,34.1,,,,,996.4,4218.8,287.52,3.16,226.36,81.95,28.62751,77.25464
