Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a (mg per m3),CDOM (ppb),Tryptophan (ppb),GPS Lat.,GPS Long.
16/04/18,8:33:06,26.88,7.12,-21.7,-310.9,1658,1718,603,829,0.83,0,14.396,0.1,0,64.5,,,,,975.2,3225.6,218.04,3.08,189.87,79.4,28.66538,77.23846
16/04/18,8:33:16,26.87,7.12,-21.7,-311.3,1657,1716,604,828,0.83,0,14.395,0,0,63.6,,,,,980.4,3288.4,228.8,3.1,192.18,79.79,28.66549,77.23836
16/04/18,8:33:26,26.88,7.12,-21.7,-311.6,1658,1718,603,829,0.83,0,14.396,0,0,62.9,,,,,984,3291.6,223.44,3.11,192.3,79.6,28.66554,77.23826
16/04/18,8:33:36,26.88,7.12,-21.6,-311.9,1658,1717,603,829,0.83,0,14.396,0,0,62.5,,,,,984,3255.6,227.32,3.11,190.97,79.74,28.6656,77.23819
16/04/18,8:33:46,26.89,7.12,-21.4,-312.2,1661,1721,602,831,0.83,0,14.393,0,0,62.9,,,,,966.8,3201.6,222.84,3.06,188.99,79.57,28.66566,77.2381
16/04/18,8:33:56,26.89,7.12,-21.4,-312.5,1661,1721,602,831,0.83,0,14.394,0,0,63.8,,,,,979.6,3209.2,222.44,3.1,189.27,79.56,28.66572,77.23802
16/04/18,8:34:06,26.89,7.12,-21.3,-312.7,1658,1718,603,829,0.83,0,14.397,0,0,65,,,,,968,3138.8,216.52,3.06,186.68,79.34,28.6658,77.23795
16/04/18,8:34:16,26.89,7.12,-21.3,-313,1664,1724,601,832,0.84,0,14.398,0,0,65.4,,,,,927.2,2936.4,210.64,2.92,179.25,79.13,28.66588,77.23789
16/04/18,8:34:26,26.89,7.12,-21.4,-313.4,1665,1725,601,833,0.84,0,14.397,0,0,65.7,,,,,960.8,3200.8,225.64,3.04,188.96,79.68,28.66595,77.23781
16/04/18,8:34:36,26.9,7.12,-21.3,-313.7,1665,1725,601,833,0.84,0,14.396,0,0,65.3,,,,,955.6,3131.2,220.04,3.02,186.41,79.47,28.66601,77.23772
16/04/18,8:34:46,26.9,7.11,-21.2,-313.9,1663,1723,601,831,0.83,0,14.398,0,0,66.1,,,,,928,3136.4,218.64,2.93,186.6,79.42,28.66609,77.23763
